numero,organizacao,task_for,servidor,grupo_designado,designado_para,prioridade,produto,categoria,subcategoria,status,origem,data_abertura,aberto_por,data_encerrado,fechado_por,codigo_encerramento,chamado_externo,prb_revisado,descricao_curta,descricao,solucao_alternativa,fechamento,atualizacoes,id_departamento
PRB0073139,KingHost,Pedro Lucas Bica Barcellos,,KingHost - Linux Operações,,4 - Baixa,Locaweb - Hospedagem Compartilhada,Linux,Configuração,Aberto,Incidente Crítico,22/05/2026 11:23:53,Pedro Lucas Bica Barcellos,,,,,falso,Falha ao iniciar o mongodb após halt no servidor mysql71-farm1.kinghost.net,"Foi realizado o halt no servidor, porém o mongo não subiu de forma automática.
Foi necessário iniciar o serviço de forma manual

Poderiam verificar se este processo não deveria ocorrer de forma automática ao reiniciar a maquina? ",,,1,fd2910b197395e10be07b286f053af60
PRB0072661,Locaweb,Anderson Tadeu,iuri0166,Linux,,3 - Média,Locaweb - Revenda,cPanel,Desempenho / Instabilidade,Aberto,Bug,13/04/2026 00:34:09,Anderson Tadeu,,,,,falso,Problem: Apache Busy Workers > 120,"Problem started at 21:02:54 on 2026.04.12
Problem name: Apache Busy Workers > 120
Action: start
Host: iuri0166.hospedagemdesites.ws
Severity: P3 - High
Event_ID: 489229389
Last Value: 150
Group: LINUX, LINUX/REVENDA
Document Link: 

Abrindo este para avaliação do alarme.
Sobrecarga no consumo de recursos, no uso de memória e CPU.
[root@iuri0166 ~]# uptime
 00:03:09 up 224 days, 22:13,  1 user,  load average: 2.13, 1.87, 1.90
[root@iuri0166 ~]# free -m
              total        used        free      shared  buff/cache   available
Mem:          17929       11214        3289         373        3425        5998
Swap:          4031        1625        2406
[root@iuri0166 ~]# systemctl status named httpd | grep active ; netstat -ntpl | egrep ':80|:81|:443'
   Active: active (running) since Sun 2025-08-31 01:51:37 -03; 7 months 11 days ago
   Active: active (running) since Sun 2026-04-12 20:53:17 -03; 3h 10min ago
tcp        1      0 0.0.0.0:80              0.0.0.0:*               LISTEN      510/httpd
tcp        0      0 127.0.0.1:8083          0.0.0.0:*               LISTEN      8222/dnsdist
tcp        0      0 127.0.0.1:8186          0.0.0.0:*               LISTEN      6425/telegraf
tcp       12      0 0.0.0.0:443             0.0.0.0:*               LISTEN      510/httpd
tcp6       0      0 :::80                   :::*                    LISTEN      510/httpd
tcp6       0      0 :::443                  :::*                    LISTEN      510/httpd
[root@iuri0166 ~]# echo -e ""\n\033[1;33m=== PROCESSOS PHP POR USU_RIO ===\033[0m""; \
> ps aux | grep php | sort -k1 | awk '{print$1}' | uniq -c | sort -n; \
> echo -e ""\n\033[1;33m=== TOP 10 IPs - PORTA 80 ===\033[0m""; \
> netstat -ntu | grep ':80 ' | awk '{print $5}' | cut -d: -f1 | sort | uniq -c | sort -nr | grep -v '127\.0\.0\.1\|CLOSE_WAIT\|TIME_WAIT\|LISTEN\|ESTABLISHED' | head -n10 | tac; \
> echo -e ""\n\033[1;33m=== TOP 10 IPs - PORTA 443 ===\033[0m""; \
> netstat -ntu | grep ':443 ' | awk '{print $5}' | cut -d: -f1 | sort | uniq -c | sort -nr | grep -v '127\.0\.0\.1\|CLOSE_WAIT\|TIME_WAIT\|LISTEN\|ESTABLISHED' | head -n10 | tac; \
> echo -e ""\n\033[1;33m=== TOP 10 IPs - SERVER STATUS ===\033[0m""; \
> curl -s localhost/server-status | awk -F'</td><td>' '{print $2}' | grep -Eo '([0-9]{1,3}\.){3}[0-9]{1,3}' | sort | uniq -c | sort -n | tail -n10 | column -t | tac

=== PROCESSOS PHP POR USU_RIO ===
      1 henriqu+
      1 nalnetn+
      2 cpanelr+
      2 wp-tool+
      5 alscomev
      9 root

=== TOP 10 IPs - PORTA 80 ===
      1 89.251.0.157
      1 89.251.0.163
      1 89.251.0.176
      1 89.251.0.177
      1 89.251.0.185
      2 20.151.248.149
      6 69.30.201.226
     12 20.203.149.161
     30 20.234.9.131
     35 158.158.73.245

=== TOP 10 IPs - PORTA 443 ===
      3 203.6.211.82
      3 40.77.167.159
      4 187.73.24.3
      5 140.245.49.159
      6 52.167.144.138
      7 40.77.167.26
      7 40.77.167.6
      8 52.167.144.147
      8 52.167.144.19
     10 103.253.27.68

=== TOP 10 IPs - SERVER STATUS ===
29  103.253.27.68
10  52.167.144.19
10  52.167.144.138
10  40.77.167.6
9   52.167.144.147
8   52.167.144.169
7   40.77.167.44
7   40.77.167.26
5   40.77.167.159
4   40.77.167.116
[root@iuri0166 ~]#
[root@iuri0166 ~]# top
top - 00:23:45 up 224 days, 22:34,  1 user,  load average: 1.27, 1.27, 1.51
Tasks: 501 total,   3 running, 374 sleeping,   0 stopped,   7 zombie
%Cpu(s):  6.1 us,  2.3 sy,  0.0 ni, 91.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem : 18359352 total,  3997616 free, 11446760 used,  2914976 buff/cache
KiB Swap:  4128764 total,  2460092 free,  1668672 used.  6181936 avail Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
27974 mysql     20   0 3080396   1.0g  42796 S   1.3  5.9   8:52.75 mysqld
 8222 dnsdist   20   0 2733700 564940      0 S   3.0  3.1  13874:15 dnsdist
30998 nobody    20   0  426812 165040   9312 S   0.0  0.9   0:01.63 httpd
11598 nobody    20   0  426872 162992  40600 S   0.0  0.9   0:01.96 httpd
 3968 nobody    20   0  426860 162744  40384 S   0.0  0.9   0:01.33 httpd
30784 nobody    20   0  427032 160936  38328 S   0.0  0.9   0:03.02 httpd
 7794 nobody    20   0  427228 160836  37872 S   0.0  0.9   0:02.69 httpd
17026 nobody    20   0  427424 160680  37872 S   0.0  0.9   0:01.70 httpd
11672 nobody    20   0  427080 160548  37616 S   0.0  0.9   0:02.11 httpd
 7764 nobody    20   0  427068 160540  37620 S   0.0  0.9   0:04.69 httpd
15112 nobody    20   0  427076 160476  37556 S   0.0  0.9   0:01.16 httpd
 8188 nobody    20   0  427120 160324  37856 S   0.0  0.9   0:01.73 httpd
26192 nobody    20   0  426724 160088  37844 S   0.0  0.9   0:01.07 httpd
11656 nobody    20   0  427040 160084  37560 S   0.0  0.9   0:01.99 httpd
 1714 nobody    20   0  426920 160044  37600 S   0.0  0.9   0:02.16 httpd
 4537 nobody    20   0  426752 160028  37852 S   0.0  0.9   0:00.90 httpd
17512 nobody    20   0  426812 159808  37512 S   0.0  0.9   0:00.53 httpd
11691 nobody    20   0  426616 159780  37588 S   0.0  0.9   0:01.46 httpd
16362 nobody    20   0  453568 158388   9308 S   0.0  0.9   0:01.80 httpd
23648 nobody    20   0  453648 158184   8996 S   0.0  0.9   0:01.10 httpd
[root@iuri0166 ~]#",,,23,44d391f61397aa00386c36666144b043
PRB0072616,Locaweb,Alberto Eidi,toggler,Squad Hospedagem/ Hospedagem Dedicada,Ana Felizatti,2 -  Alta,Locaweb - Hospedagem Compartilhada,Painel,Indisponibilidade / Intermitência,Encerrado Automaticamente,Incidente Crítico,08/04/2026 20:49:54,Gabriel Leopoldo Pereira Ferreira,22/05/2026 02:30:06,System Administrator,Falha de Redes,,falso,[Painel de Hospedagem] Falha no acesso ao painel de Hospedagem,"Falha no acesso ao painel de Hospedagem  https://painelhospedagem.locaweb.com.br/

We're sorry, but something went wrong.
We've been notified about this issue and we'll take a look at it shortly.

https://painelhospedagem.locaweb.com.br/monitoring

[{""version"":{""status"":""ok""},""time"":6.678076},{""cache"":{""status"":""ok""},""time"":5.463456},{""cas-sys"":{""status"":""ok""},""time"":95.020068},{""cas-web"":{""status"":""ok""},""time"":26.229743},{""toggler"":{""status"":""ok""},""time"":24.123414999999998},{""hosting-services"":{""status"":""ok""},""time"":41.437348},{""locastyle"":{""status"":""ok""},""time"":46.052237000000005}]

Podem verificar?
Att.",,"O incidente foi causado por uma falha na resolução de DNS, que impactou diversas aplicações e ambientes, demandando atuação conjunta dos times de Redes, Segurança e Infraestrutura para identificação e normalização do cenário. Após a correção do serviço de DNS, o comportamento foi restabelecido e o problema não voltou a ocorrer, sendo realizados diversos checkpoints ao longo do dia para monitoramento e validação da estabilidade.

Para fins de histórico, é importante destacar que a origem do problema não estava no toggler. O volume elevado de erros associado a ele ocorreu porque o painel realiza múltiplas requisições para esse serviço e, com a indisponibilidade na resolução de DNS, essas chamadas passaram a falhar.
",9,c0d391f61397aa00386c36666144b041
PRB0073106,Locaweb,Denise Lins,,Order to Cash,,4 - Baixa,Locaweb - Sistemas Internos,Cobrança,Demora na Baixa de Cartão,Aberto,Bug,20/05/2026 12:07:57,Denise Lins,,,,,falso,PRB0069543 Contratação/alteração de cartão não passa pelo antifraude ,"1 - Qual o problema?
Cliente fez a contratação/alteração de cartão  porem não passou pelo anti fraude, e assim não concluiu o processo de pagamento e instalação.

2 - Qual o comportamento esperado?
Que ao realizar a contratação o pedido passe pelo antifraude e siga o processo de analise para ativação do serviço.

3 - Qual a solução esperada?
Que seja corrigido todos os casos atrelados ao PRB, após change não acontecer com casos futuros e sejam ajustados os casos de antes da change também.
E que seja avaliado possíveis novos cenários e produtos que possam ter o mesmo problema, avaliando se necessário abertura de novo PRB caso seja diferente o problema raiz.

4 - Cliente de Evidência de Problema:
josefilhosilva (Cód. 1100834587)

Registro de domínio nacional
pontuaplus.com.br
Status Aguardando aprovação Solicitado em 16/05/2026 21:51 Data de instalação -
Cortesia - Total R$ 64,90/ano
Produto principal
Plano: Registro de domínio nacional - pontuaplus.com.br | R$ 64,90/ano Detalhes do produto
Cód. Provisioning: 73278437
Pedido: 51024119
Cobrança: Dia de vencimento 10, periodicidade anual e forma de pagamento cartão de crédito

1007555793

16/05/2026 21:50	zenon
Confirmação de Pré-Autorização
Cartão:     544169******2227
Vencimento: 2033-10
Valor:      26.9
NSU:        014746
TID:        511668459
GATEWAY:    cielo
#vindi_intermediador


5 - Qual o Impacto para a Empresa?
Aumento de contato e perda de receita

6 - Critério de Aceite do PRB
Correção do problema na raiz, correção dos casos atrelados a este PRB e validar se outros produtos/serviços podem ter o mesmo problema.

Atenciosamente, 
",,,4,8cd391f61397aa00386c36666144b041
PRB0059795,Locaweb,Jessica Silva,Criador de Sites,Squad Hospedagem/ Hospedagem Dedicada,,4 - Baixa,Locaweb - Criador de Sites,Provisionamento,Falha na reativação,Aberto,Bug,16/12/2021 08:59:17,Jessica Silva,,,,,falso,[Criador Incluso] - Falha na reativação de criador de sites incluso,"Através de incidente, identificamos que houve a desativação e reativação de uma hospedagem compartilhada, porém, o criador de sites incluso, permaneceu desativado 8.1.

Não gerando feed de desativação e reativação.

Ex: Login hadre16 (Cód. 1100105532)

As receitas de desativação e reativação da hospedagem:

https://hank.locaweb.com.br/bundles/754375671
https://hank.locaweb.com.br/bundles/754396349",,,29,c4d391f61397aa00386c36666144b041
PRB0073007,Locaweb,Anderson Dias,,KingHost - GRS,Kevilin Rodrigues,3 - Média,Etus,Relatorio,Falha ao Salvar/Editar/PDF/Link,Em andamento,Reincidência de incidente,11/05/2026 17:36:48,Anderson Dias,,,,,falso,"API Etus geram payloads de até ~1,8 MB por entry em SocialNetworks::ProfileAgent::*, contribuindo para OOM da recipes-manager","Olá prezados boa tarde,

Durante a análise de causa raiz do PRB0068236 (OOM diário na recipes-manager) foi confirmada quantitativamente uma das três famílias de recipe responsáveis pelo crescimento desbalanceado da tabela transition_logs (83 GB, 95% em TOAST). A família Recipes::SocialNetworks::ProfileAgent::* apresenta um perfil distinto e mais agressivo do que os outros dois identificados: poucas entries por linha, mas cada entry chegando a quase 1 MB.

Top 50 registros mais pesados:
https://metabase.locaweb.com.br/question/4135-top-50-registros-mais-pesados

Distribuições de receitas mais ofensoras:
https://metabase.locaweb.com.br/question/4139-distribuicao-agregada-de-receitas

A Squad Hospedagem está atuando defensivamente na camada de persistência (truncamento de data.message/data.error, cap por tamanho), mas o vetor de origem permanece na resposta da API Etus consumida pela recipe: erros são entregues com payload completo (HTML/JSON inteiro) e gravados sem agregação.

Evidências quantitativas (extraídas de produção)
Top registros individuais desta família:

transition_log.id	loggable_id (recipe)	Classe · Status	Entries	Tamanho da linha	Bytes/entry
32926958	43706302	ProfileAgent::Activate · email_validated	63	3.683 KB (~3,7 MB)	~58 KB
32976508	43770548	ProfileAgent::Activate · email_validated	91	1.866 KB	~20 KB
35733810	47259931	ProfileAgent::Deactivate · started	2	1.795 KB	~900 KB em uma única entry

Para comparação: o padrão ""saudável"" de bytes/entry no recipes-manager é de ~20 bytes (perfil de polling normal). A família ProfileAgent opera em ~20–58 KB por entry (1.000× a 3.000× o normal), com pico documentado de ~900 KB em uma única entry.

Cross-validation observada em logs de produção (Task 2 §5.3 do PRB pai): a recipe 47259931 aparece nos logs do Loki com 5 falhas em 1 hora com exceção Recipes::SocialNetworks::ProfileAgent::EtusApiError (""Não autorizado"") — todas em janela de instabilidade da Etus API. A entry resultante de ~900 KB contém o payload completo da resposta da API gravado em data.error / data.message.
----------------------------

Diagnóstico técnico

O TransitionLog::Entry no recipes-manager aceita o entry_hash arbitrariamente grande, sem truncamento (app/models/transition_log/entry.rb).

Quando a recipe captura uma exceção da Etus API (EtusApiError, integração via app/lib/etus/), a mensagem inteira do erro é serializada em data.error / data.message.

O padrão de tamanho observado (~900 KB para uma única entry de erro) é compatível com resposta HTTP da API com body HTML completo (página de erro padrão) ou stack trace serializado — não com um payload estruturado de erro.

Em janelas de instabilidade da Etus (autenticação intermitente, ""Não autorizado""), cada retry gera nova entry de ~1 MB. Em 5 retries por hora documentados, são ~5 MB de TOAST adicionados em uma única recipe em 1h.
Impacto sobre a recipes-manager

Linha individual desta família chega a 3,7 MB, o que quando carregada por queries amplas (endpoint de Reports, ReprocessNotFinishedWorker) detoasta diretamente em memória do worker. Página de 50 recipes do Perfil B nas Reports carrega até 185 MB em um único request — vetor confirmado do OOM-killer registrado nos logs do kernel (ruby2.6 matando processos com VM até 19,4 GB, Task 2 §6 do PRB pai).

Mais evidências na documentação  a seguir:
https://dev.azure.com/locaweb/squad-hospedagem/_wiki/wikis/squad-hospedagem.wiki/32804/Proposta-de-Remedia%C3%A7%C3%A3o-T%C3%A9cnica-%C2%B7-Consolida%C3%A7%C3%A3o
-----------------------

Solicitação ao Time ETUS

Análise de melhoria de produto/contrato na API Etus consumida pelas recipes ProfileAgent::Activate / Deactivate / etc., com foco em:

1. Reduzir tamanho das respostas de erro da API — devolver erro estruturado ({ code, message_curto, retry_after }) em vez de body HTML completo ou stack trace serializado. Sugestão de teto: ≤ 4 KB por resposta de erro.

2. Caracterização do erro ""Não autorizado"" — investigar se a falha de autenticação intermitente observada em produção (5 ocorrências em 1h na recipe 47259931) é:
- Problema real de credencial expirando? (devolver 401 com instrução para renovar token)
- Rate limiting disfarçado? (devolver 429 com Retry-After)
- Erro transiente de infra? (devolver 503 para a recipes não tratar como erro fatal)
- Hoje aparece como uma string genérica que dispara EtusApiError igual a qualquer outro erro.

3. SLA documentado de retry / backoff — explicitar com que frequência a recipes-manager pode reentar quando a Etus retorna erro transiente. Hoje o intervalo é o pooling_interval default (60s), que pode ser agressivo demais durante outage da Etus.

4. Endpoint de status / health — permite que o recipes-manager implemente um circuit breaker (próximo passo defensivo no nosso lado) sem precisar adivinhar quando a API está degradada.

PRB pai: PRB0068236

Att,",,,6,2820e644dba13fc0eefa562bdc961979
PRB0062803,Locaweb,Gustavo Viana,XENSERVER,Windows,Danilo Santos,3 - Média,Locaweb - Servidores Gerenciados - G2,Windows,Segurança,Aguardando Validação da Resolução,Vulnerabilidade,26/06/2023 12:02:28,Gustavo Viana,,,Falha de Segurança,,falso,Vulnerabilidade | GenericAll em usuários via GG_SYSADMINS_WINDOWS no LOCAWEB-NET,Há uma má configuração no domínio LOCAWEB-NET que permite que os membros do grupo GG_SYSADMINS_WINDOWS tenham controle total sobre alguns usuários.,,"Boa tarde.

Realizada a auditoria de segurança e análise das permissões (ACLs) no objeto do AD referente à integração do ambiente XenServer.

Constatou-se que a conta de serviço utilizada (LOCAWEB-NET\lw-svc-xcloudinstall) NÃO possui a permissão GenericWrite ativa, mitigando o risco de privilégios excessivos e garantindo a conformidade com o princípio do menor privilégio.

As permissões atualmente identificadas e herdadas pelo objeto restringem-se a:

CreateChild / DeleteChild: Permite estritamente a criação e deleção de objetos filhos (essencial para o gerenciamento de contas de computador/hosts no domínio).

WriteProperty / ReadProperty: Garante apenas a leitura e escrita em atributos específicos e controlados do objeto, diferentemente do GenericWrite.

Distinção Técnica para Auditoria:
Reforça-se que WriteProperty e GenericWrite são privilégios distintos no Active Directory. Enquanto o WriteProperty atua de forma cirúrgica sobre propriedades predefinidas, o GenericWrite consiste em um agrupamento de alta criticidade que concede controle total de escrita (incluindo WriteProperty irrestrito para todos os atributos, WriteAttributes e WriteExtendedRight), o qual poderia expor o ambiente a vetores de escalada de privilégios.

Referências:
https://learn.microsoft.com/en-us/dotnet/api/system.directoryservices.activedirectoryrights?view=netframework-4.8.1
https://docs.citrix.com/en-us/citrix-virtual-apps-desktops/2507-ltsr/install-configure/on-premises-ad-service-accounts.html

Por favor, podem realizar nova validaç!ao?

Att.",23,c0d391f61397aa00386c36666144b040
PRB0062147,Locaweb,Daniel Alves,,Squad Hospedagem/ Hospedagem Dedicada,,4 - Baixa,Locaweb - Hospedagem Compartilhada,Painel,Gerenciador de Domínios,Aberto,Bug,15/02/2023 17:12:33,Roberto Caracciolo,,,,,falso,"[Hospedagem] - Falha no redirecionamento - Conflicts with pre-existing RRset""}}, :status=>422}","Identificado no INC7293158 que o cliente ao voltar o domínio para ""apontamento"", a receita travou no erro abaixo:

Em analise, notei que o cliente utiliza uma entrada FTP com registro A, dessa forma, quando aplicação tenta fazer o insert na zona de dns com entrada FTP e registro CNAME, ocorre a falha.

=====================================================================================================
https://hank.hospedagem.locaweb.com.br/recipes/28344395?product_bundle_id=756740103
[Time=15/02/2023 16:27:08] 74 times: Error while performing transition from vhost_created to site_dns_entries_created

Faraday::ClientError (the server responded with status 422):
#<Faraday::ClientError>
=====================================================================================================

=====================================================================================================
Checking on toggler: ""feature""=>""recipes-manager_cartorio-adapter"", ""credentials""=>""[]""
Creating entry with CartorioClient
Creating record {:record=>{:ttl=>3600, :type=>""CNAME"", :name=>""ftp.ferlon.com.br."", :records=>[{:content=>""ferlon.com.br."", :disabled=>false}]}}, via put
build_connection url: https://cartorio.locaweb.com.br
Connection timeout in: 90 seconds
method: put, url: /api/zones/ferlon.com.br./records, params: {""record"":{""ttl"":3600,""type"":""CNAME"",""name"":""ftp.ferlon.com.br."",""records"":[{""content"":""ferlon.com.br."",""disabled"":false}]}}, headers: {}
Requesting ST for cartorio.locaweb.com.br
Requesting TGT
TGT cache hit, value: 'TGT-30832798-I6JTPecm-idVyT0OnVAKuN2OwBguu8ltiKMf2n0xDovDuEB-2t4SlhxS4kIx4ZA4jQscas53-moe'
Unexpected error calling CartorioClient: {:body=>{""errors""=>{""detail""=>""RRset ftp.ferlon.com.br. IN CNAME: Conflicts with pre-existing RRset""}}, :status=>422}
[Time=2023-02-15 17:16:01 -0300][Thread=47197908392300][id=28344395][status=vhost_created]Failed: Recipes::Domains::Domain::Linux::Activate#cook()

=====================================================================================================
",,,81,4cd391f61397aa00386c36666144b03f
PRB0064231,Locaweb,Pedro Morais,Hospedagem Compartilhada,Linux,Antonio Nery,3 - Média,Locaweb - Hospedagem Compartilhada,Painel,Indisponibilidade / Intermitência,Em andamento,Bug,24/02/2024 10:21:57,Pedro Morais,,,,,falso,Migração de servidores com divergência de informações no Hank e Zona,"- Problema do cliente (qual o problema que o cliente enfrenta)?

Suporte nos acionou informando que quando ocorre migração de maquina devido a um incidente as informações do painel ficam divergentes.

Exemplo: hm6749 foi migrado para hm8202 onde foi ajustado o IP dos domínios e Vhost
Entretanto os domínios alternativos e hank não foram ajustados com isso gerando falha para o cliente.

Suporte mencionou que N1 esta pegando o IP incorreto que consta no painel e ajustando no Vhost por achar que é o Ip correto e com isso derrubando o site do cliente.

INC da migração:INC7287666

 - Impacto (qual o impacto do cliente) ?

- Painel de Hospedagem informa o IP da maquina antiga.
- Falha no acesso ao FTP usando a url alternativa

- Evidência (qual a evidência que o problema está acontecendo)

Print em anexo do painel

Falha do FTP
Estado:	A resolver o endereço de ftp.ycon1.hospedagemdesites.ws
Estado:	Conectando 186.202.153.35:21...
Estado:	Tentativa de conexão falhou com ""ECONNREFUSED - Conexão recusada pelo servidor"".
Erro:	Não foi possível conectar ao servidor

- Resultado esperado (o que seria o cenário to be para resolução do problema)

A migração de site seja realizado de forma completa, alterando informações do servidor, hank e zona de dns de todos os domínios. 

Maquina hm6749 é apenas um exemplo da situação.

",,,171,c4d391f61397aa00386c36666144b041
PRB0072086,Locaweb,Pedro Morais,Hospedagem Compartilhada,Squad Hospedagem/ Hospedagem Dedicada,,4 - Baixa,Locaweb - Hospedagem Compartilhada,Painel,Falha na instalação do Let's Encrypt,Aberto,Bug,23/02/2026 10:23:51,Pedro Morais,,,,,falso,Falha na emissão do Lets com DNS Externo mas com NS da Locaweb,"Identificamos que cliente que utilizam DNS Cloud Flare apresenta erro na emissão do SSL Let's 

As configurações de apontamento no NS apresenta para a locaweb porem a emissao não funciona 

Simulado manualmente.

irb(main):003:0> IssueCertificateService.send_certificate(params)
=> ""unregistered_dns""
irb(main):004:0> 

Dados de apontamento

C:\Users\pedro.morais>nslookup -q=ns academy.infectocast.com.br
Servidor:  LWITA-DC09.fabrica.locaweb.com.br
Address:  186.202.31.66

Não é resposta autoritativa:
academy.infectocast.com.br      nameserver = ns3.locaweb.com.br
academy.infectocast.com.br      nameserver = ns2.locaweb.com.br
academy.infectocast.com.br      nameserver = ns1.locaweb.com.br

Na Registro BR o dominio principal aponta para Cloud Flare mas os NS para a Locaweb.

Podem nos ajudar a entender se é uma falha nossa ou realmente depende do DNS lembrando que a Cloud Flare é CDN que não se trata de uma hospedagem
",,,5,c4d391f61397aa00386c36666144b041
PRB0073120,Locaweb,Augusto Santos,,Email nivel 2,,4 - Baixa,Locaweb - Email,Locamail,Ferramentas Internas,Aberto,Bug,20/05/2026 22:24:38,Augusto Santos,,,,,falso,Falha na busca de logs nos servidores bagon0001 e bagon0002,"Identificamos falha na busca de logs anteriores ao mês 05/2026 nos servidores bagon0001 e bagon0002.

Durante a análise foi constatado o seguinte comportamento:

* No servidor bagon0001, o diretório /storage/logs/mcbain/2026 possui somente a pasta referente ao mês 05, não existindo diretórios dos meses anteriores (01 a 04), o que impossibilita a consulta de logs anteriores a maio.

Evidência:

log_server [root@bagon0001 /storage/logs/mcbain/2026]$ ls -lha
total 120K
drwxr-xr-x  3 root _sysadms  20 May  1 02:00 .
drwxr-xr-x  3 root _sysadms  22 May  6 12:30 ..
drwxr-xr-x 19 root _sysadms 340 May 20 02:15 05

* No servidor bagon0002, os diretórios dos meses anteriores (01 a 04) estão presentes no caminho /storage/logs/mcbain/2026. Porém, ao realizar buscas nesses períodos, a consulta permanece em execução continuamente, sem retornar os logs esperados.

Evidência:

log_server [root@bagon0002 /storage/logs/mcbain/2026]$ ls -lha
total 172K
drwxr-xr-x  7 root _sysadms 100 May  1 02:15 .
drwxr-xr-x  5 root _sysadms  66 Jan  1 00:00 ..
drwxr-xr-x 33 root _sysadms 620 Jan 31 03:00 01
drwxr-xr-x 30 root _sysadms 560 Feb 28 03:15 02
drwxr-xr-x 33 root _sysadms 620 Mar 31 03:15 03
drwxr-xr-x 32 root _sysadms 600 Apr 30 03:00 04
drwxr-xr-x  7 root _sysadms 100 May  5 08:00 05

Impacto:

* Impossibilidade de consulta de logs anteriores a 05/2026 no servidor bagon0001.
* Lentidão/travamento nas buscas de logs históricos no servidor bagon0002, sem retorno dos resultados esperados.
",,,4,4cd391f61397aa00386c36666144b03f
PRB0071665,Locaweb,Usuário de Integração Monitoração,SmartLayer,Windows,Jean Cerqueira,3 - Média,Locaweb - Hospedagem Compartilhada,Windows,IIS,Encerrado Automaticamente,Reincidência de incidente,13/01/2026 09:34:16,Thiago Ferreira,22/05/2026 02:30:01,System Administrator,Incidente causado por Change,,falso,[ORIONXXXX] Problem: Check Provisioning on smartlayer,"Bom dia.

Podem nos ajudar com este?

O certificado não foi instalado pois o binding não existia no IIS e consequentemente não fazia a associação do certificado com o domínio na porta 443.

Para normalizar é necessário incluir o domínio do binding pelo IIS, nesse caso, como o problema ocorreu na RIGEL04-0011, devido a quantidade, foi necessária ajuda do time de Windows para configuração diretamente no arquivo do IIS.

Logs:

IIS-UPDATE-BINDING-SSL-CERTIFICATE
Parâmetros: worker_name: RIGEL04-0011 | website_name: ssl | dns_entry: .

Step error: <?xml version=""1.0""?><FaultException><Type>System.Exception</Type><Message>Binding [*:443:componentes.e4u.com.br] not found !!!</Message><Source>IIsMgr</Source><StackTrace> at ServerManagerService.Plugins.Adapters.IIsAdapter.UpdateBindingSSLCertificate(String siteName, String protocol, String dnsEntry, String domain, String ip, Int32 port, String certificateThumbPrint) at ServerManagerService.Plugins.IIsMgr.UpdateBindingSSLCertificate(NameValueCollection pars)</StackTrace></FaultException>

-----------------------------------------------------------------------------------------------

Problem started at 03:25:22 on 2026.01.13
Problem name: Check Provisioning on smartlayer
Trigger: 3608067
Action: start
Host: smartlayer
Severity: P3 - High
Event_ID: 393765571
Group: WINDOWS, WINDOWS/SYSTEMS/Infrastructure/SmartLayer/WebServers
Document Link: 
Last Value: ERROR: UpdateSSLCertificate-1627046-12/01/2026 23:29:42|UpdateSSLCertificate-1627056-12/01/2026 23:39:40|  *UNKNOWN*

",,"Olá,

Este PRB contempla diferentes cenários. Segue o detalhamento:

1 - Falha de reativação
Para esses casos, é necessário abrir um novo PRB específico.

2 - Binding duplicado do WebsiteSeguro.com (SSL) em novos sites
A causa foi identificada na CHG0218680. O ambiente foi migrado novamente em 04/2026 e, desde então, não foram observados novos problemas relacionados a esse ponto.

3 - Atualização de certificado sem binding na porta 443
Foram analisados alguns casos e não foram encontrados logs no Hank durante o momento das chamadas.
Dessa forma, não há evidências suficientes para uma análise conclusiva.

Até o momento, não houve recorrência desse cenário.

Caso volte a ocorrer:

Em horário comercial: acionar o time de Windows para análise em tempo real dos logs.
Fora do horário (das 07:00 às 20:48) ou em finais de semana: seguir com a abertura de PRB e comunicar na nossa sala do Slack, para que possamos coletar os logs o mais rápido possível.

Atenciosamente,",28,44d391f61397aa00386c36666144b043
